Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Karlen McCaffrey;Canada;85% Dark Bars;15/03/2021;11 844,00 €;111;790
Karlen McCaffrey;Australia;Smooth Sliky Salty;15/03/2021;63,00 €;31;3
Brien Boise;UK;Eclairs;15/03/2021;1 904,00 €;265;238
Jan Morforth;India;Baker's Choco Chips;15/03/2021;1 764,00 €;172;147
Ches Bonnell;USA;Choco Coated Almonds;15/03/2021;3 374,00 €;27;141
Beverie Moffet;Australia;99% Dark & Pure;15/03/2021;791,00 €;226;36
Andria Kimpton;USA;Caramel Stuffed Bars;15/03/2021;11 802,00 €;101;454
Gigi Bohling;New Zealand;85% Dark Bars;15/03/2021;5 586,00 €;191;399
Andria Kimpton;India;Smooth Sliky Salty;15/03/2021;5 908,00 €;207;269
Barr Faughny;Canada;Spicy Special Slims;15/03/2021;2 891,00 €;148;362
Dennison Crosswaite;Australia;Almond Choco;15/03/2021;1 127,00 €;85;94
Beverie Moffet;UK;Smooth Sliky Salty;15/03/2021;301,00 €;125;15
Jan Morforth;Australia;Organic Choco Syrup;15/03/2021;2 653,00 €;86;266
Curtice Advani;UK;Organic Choco Syrup;15/03/2021;3 822,00 €;114;383
Husein Augar;Australia;Eclairs;15/03/2021;5 467,00 €;62;684
Curtice Advani;India;Manuka Honey Choco;15/03/2021;3 108,00 €;548;259
Andria Kimpton;New Zealand;Peanut Butter Cubes;15/03/2021;4 963,00 €;225;207
Dotty Strutley;New Zealand;85% Dark Bars;15/03/2021;1 155,00 €;223;83
Rafaelita Blaksland;New Zealand;Fruit & Nut Bars;15/03/2021;5 957,00 €;81;259
Brien Boise;Canada;White Choc;15/03/2021;287,00 €;253;21
Brien Boise;Australia;Mint Chip Choco;15/03/2021;2 793,00 €;55;147
Jan Morforth;Australia;Milk Bars;15/03/2021;3 416,00 €;117;244
Gigi Bohling;Australia;Mint Chip Choco;15/03/2021;595,00 €;96;32
Oby Sorrel;UK;Mint Chip Choco;15/03/2021;2 317,00 €;374;129
Andria Kimpton;India;Spicy Special Slims;15/03/2021;224,00 €;24;38
Madelene Upcott;USA;Caramel Stuffed Bars;15/03/2021;588,00 €;189;22
Marney O'Breen;UK;After Nines;15/03/2021;4 641,00 €;93;581
Beverie Moffet;New Zealand;99% Dark & Pure;15/03/2021;441,00 €;40;21
Andria Kimpton;UK;After Nines;15/03/2021;3 367,00 €;8;421
Brien Boise;UK;Peanut Butter Cubes;15/03/2021;2 016,00 €;106;81
Barr Faughny;New Zealand;99% Dark & Pure;15/03/2021;7 042,00 €;240;336
Husein Augar;India;Manuka Honey Choco;15/03/2021;6 531,00 €;315;503
Kelci Walkden;New Zealand;Baker's Choco Chips;16/03/2021;8 337,00 €;96;695
Dennison Crosswaite;New Zealand;Raspberry Choco;16/03/2021;5 992,00 €;163;600
Oby Sorrel;UK;Almond Choco;16/03/2021;105,00 €;323;9
Oby Sorrel;India;Orange Choco;16/03/2021;10 073,00 €;67;775
Barr Faughny;UK;Manuka Honey Choco;16/03/2021;4 578,00 €;239;417
Karlen McCaffrey;Australia;99% Dark & Pure;16/03/2021;4 130,00 €;372;180
Karlen McCaffrey;Australia;Organic Choco Syrup;16/03/2021;4 431,00 €;46;493
Rafaelita Blaksland;Canada;70% Dark Bites;16/03/2021;3 724,00 €;311;249
Brien Boise;India;Raspberry Choco;16/03/2021;4 718,00 €;216;429
Beverie Moffet;India;99% Dark & Pure;16/03/2021;7 469,00 €;83;325
Wilone O'Kielt;India;Drinking Coco;16/03/2021;2 436,00 €;54;144
Barr Faughny;UK;Drinking Coco;16/03/2021;8 176,00 €;117;511
Barr Faughny;Canada;Fruit & Nut Bars;16/03/2021;3 409,00 €;14;143
Ches Bonnell;New Zealand;Caramel Stuffed Bars;16/03/2021;3 850,00 €;220;143
Dennison Crosswaite;New Zealand;Drinking Coco;16/03/2021;7 875,00 €;466;493
Marney O'Breen;New Zealand;70% Dark Bites;16/03/2021;1 946,00 €;353;139
Jan Morforth;USA;Caramel Stuffed Bars;16/03/2021;5 754,00 €;304;231
Curtice Advani;India;Baker's Choco Chips;16/03/2021;1 890,00 €;4;158
Dotty Strutley;Australia;Choco Coated Almonds;16/03/2021;3 843,00 €;150;148
Brien Boise;India;99% Dark & Pure;16/03/2021;4 032,00 €;74;192
Brien Boise;India;Drinking Coco;16/03/2021;2 667,00 €;52;149
Brien Boise;India;Caramel Stuffed Bars;16/03/2021;11 081,00 €;226;444
Ches Bonnell;USA;99% Dark & Pure;16/03/2021;3 276,00 €;66;143
Brien Boise;USA;Milk Bars;16/03/2021;8 064,00 €;386;538
Gigi Bohling;UK;White Choc;16/03/2021;5 355,00 €;11;383
Madelene Upcott;India;Drinking Coco;16/03/2021;4 935,00 €;219;309
Ches Bonnell;UK;Mint Chip Choco;16/03/2021;3 962,00 €;102;199
Kelci Walkden;USA;Mint Chip Choco;16/03/2021;2 415,00 €;17;121
Beverie Moffet;New Zealand;85% Dark Bars;16/03/2021;518,00 €;122;37
Barr Faughny;New Zealand;Eclairs;16/03/2021;8 092,00 €;83;1012
Kaine Padly;UK;Baker's Choco Chips;16/03/2021;3 353,00 €;11;280
Andria Kimpton;Canada;85% Dark Bars;17/03/2021;10 472,00 €;474;748
Gunar Cockshoot;Canada;99% Dark & Pure;17/03/2021;3 339,00 €;32;159
Marney O'Breen;USA;Choco Coated Almonds;17/03/2021;21,00 €;141;1
Barr Faughny;Canada;Manuka Honey Choco;17/03/2021;1 981,00 €;155;153
Dennison Crosswaite;India;Peanut Butter Cubes;17/03/2021;4 109,00 €;208;165
Ches Bonnell;UK;Manuka Honey Choco;17/03/2021;4 452,00 €;177;405
Kelci Walkden;UK;Raspberry Choco;17/03/2021;5 320,00 €;121;532
Gigi Bohling;USA;Orange Choco;17/03/2021;434,00 €;127;40
Karlen McCaffrey;UK;99% Dark & Pure;17/03/2021;5 348,00 €;322;233
Wilone O'Kielt;USA;Organic Choco Syrup;17/03/2021;9 373,00 €;227;853
Kaine Padly;India;Manuka Honey Choco;17/03/2021;1 120,00 €;20;87
Oby Sorrel;Australia;Peanut Butter Cubes;17/03/2021;9 422,00 €;35;377
Kaine Padly;Australia;Fruit & Nut Bars;17/03/2021;1 120,00 €;107;45
Andria Kimpton;UK;Milk Bars;17/03/2021;3 549,00 €;32;254
Ches Bonnell;New Zealand;Drinking Coco;18/03/2021;1 351,00 €;27;80
Curtice Advani;New Zealand;50% Dark Bites;18/03/2021;5 110,00 €;158;365
Beverie Moffet;Australia;Almond Choco;18/03/2021;1 099,00 €;49;79
Gunar Cockshoot;Australia;Smooth Sliky Salty;18/03/2021;5 943,00 €;28;259
Gunar Cockshoot;Canada;50% Dark Bites;18/03/2021;4 123,00 €;222;295
Barr Faughny;Australia;85% Dark Bars;18/03/2021;1 050,00 €;43;70
Gigi Bohling;New Zealand;Milk Bars;18/03/2021;1 225,00 €;421;82
Beverie Moffet;India;85% Dark Bars;18/03/2021;966,00 €;313;69
Jan Morforth;USA;Eclairs;18/03/2021;665,00 €;178;74
Dennison Crosswaite;USA;Orange Choco;18/03/2021;5 565,00 €;279;506
Gunar Cockshoot;Australia;Raspberry Choco;18/03/2021;3 178,00 €;95;265
Rafaelita Blaksland;UK;Mint Chip Choco;18/03/2021;9 009,00 €;130;501
Karlen McCaffrey;Canada;Eclairs;18/03/2021;6 587,00 €;203;659
Gigi Bohling;Australia;Eclairs;19/03/2021;2 996,00 €;124;375
Madelene Upcott;UK;70% Dark Bites;19/03/2021;3 507,00 €;50;251
Kaine Padly;New Zealand;99% Dark & Pure;19/03/2021;1 582,00 €;125;76
Gigi Bohling;New Zealand;50% Dark Bites;19/03/2021;5 467,00 €;372;391
Marney O'Breen;UK;Caramel Stuffed Bars;19/03/2021;903,00 €;429;34
Gigi Bohling;Australia;Choco Coated Almonds;19/03/2021;4 032,00 €;49;168
Karlen McCaffrey;UK;White Choc;19/03/2021;2 485,00 €;303;166
Rafaelita Blaksland;India;Choco Coated Almonds;19/03/2021;3 395,00 €;129;136
Marney O'Breen;UK;Organic Choco Syrup;19/03/2021;5 733,00 €;524;522
Barr Faughny;UK;Raspberry Choco;19/03/2021;4 641,00 €;54;465
Husein Augar;UK;Mint Chip Choco;19/03/2021;2 338,00 €;7;117
Dennison Crosswaite;India;Spicy Special Slims;19/03/2021;3 423,00 €;63;428
Kaine Padly;India;White Choc;19/03/2021;10 542,00 €;47;659
Ches Bonnell;New Zealand;Milk Bars;19/03/2021;6 342,00 €;382;423
Gunar Cockshoot;India;50% Dark Bites;19/03/2021;4 186,00 €;446;262
Ches Bonnell;India;Drinking Coco;19/03/2021;3 094,00 €;111;172
Oby Sorrel;USA;85% Dark Bars;19/03/2021;3 248,00 €;143;232
Kelci Walkden;India;Caramel Stuffed Bars;19/03/2021;7 350,00 €;7;283
Madelene Upcott;USA;99% Dark & Pure;19/03/2021;3 381,00 €;500;161
Dotty Strutley;New Zealand;Choco Coated Almonds;19/03/2021;9 674,00 €;191;373
Jan Morforth;Canada;After Nines;19/03/2021;4 242,00 €;33;606
Rafaelita Blaksland;India;Organic Choco Syrup;19/03/2021;2 989,00 €;257;272
Rafaelita Blaksland;New Zealand;Choco Coated Almonds;19/03/2021;2 422,00 €;250;97
Ches Bonnell;New Zealand;Orange Choco;19/03/2021;3 143,00 €;406;286
Brien Boise;New Zealand;Manuka Honey Choco;19/03/2021;7 455,00 €;20;622
Wilone O'Kielt;USA;Manuka Honey Choco;19/03/2021;5 950,00 €;511;496
Dennison Crosswaite;New Zealand;Spicy Special Slims;19/03/2021;11 144,00 €;473;1393
Marney O'Breen;USA;Baker's Choco Chips;19/03/2021;4 445,00 €;25;371
Jan Morforth;Australia;Peanut Butter Cubes;19/03/2021;5 362,00 €;191;215
Ches Bonnell;Australia;Mint Chip Choco;22/03/2021;1 855,00 €;294;93
Ches Bonnell;Australia;Orange Choco;22/03/2021;903,00 €;230;70
Rafaelita Blaksland;New Zealand;Spicy Special Slims;22/03/2021;4 991,00 €;96;832
Oby Sorrel;UK;Raspberry Choco;22/03/2021;833,00 €;144;76
Gunar Cockshoot;India;70% Dark Bites;22/03/2021;1 988,00 €;147;142
Wilone O'Kielt;USA;Smooth Sliky Salty;22/03/2021;2 772,00 €;468;132
Kaine Padly;New Zealand;Fruit & Nut Bars;22/03/2021;1 512,00 €;24;66
Dotty Strutley;New Zealand;After Nines;22/03/2021;742,00 €;82;106
Beverie Moffet;New Zealand;Almond Choco;22/03/2021;7 056,00 €;77;588
Beverie Moffet;UK;Drinking Coco;22/03/2021;6 580,00 €;225;412
Kelci Walkden;India;99% Dark & Pure;22/03/2021;4 158,00 €;285;198
Kaine Padly;New Zealand;Peanut Butter Cubes;22/03/2021;8 358,00 €;246;335
Madelene Upcott;UK;Raspberry Choco;22/03/2021;1 295,00 €;217;118
Ches Bonnell;India;85% Dark Bars;22/03/2021;3 962,00 €;470;283
Husein Augar;Australia;White Choc;22/03/2021;2 786,00 €;97;186
Beverie Moffet;USA;Spicy Special Slims;22/03/2021;350,00 €;63;50
Curtice Advani;India;99% Dark & Pure;22/03/2021;6 587,00 €;114;314
Kaine Padly;New Zealand;Spicy Special Slims;22/03/2021;2 289,00 €;556;327
Ches Bonnell;India;Caramel Stuffed Bars;22/03/2021;3 661,00 €;632;141
Oby Sorrel;India;99% Dark & Pure;22/03/2021;1 309,00 €;93;63
Brien Boise;Canada;Mint Chip Choco;22/03/2021;413,00 €;239;22
Brien Boise;New Zealand;Caramel Stuffed Bars;22/03/2021;1 645,00 €;221;64
Madelene Upcott;USA;50% Dark Bites;22/03/2021;1 071,00 €;313;72
Marney O'Breen;India;Drinking Coco;22/03/2021;154,00 €;144;9
Kelci Walkden;India;Manuka Honey Choco;23/03/2021;9 520,00 €;462;794
Wilone O'Kielt;India;85% Dark Bars;23/03/2021;945,00 €;51;68
Madelene Upcott;New Zealand;Baker's Choco Chips;23/03/2021;5 824,00 €;36;486
Kelci Walkden;Canada;50% Dark Bites;23/03/2021;2 065,00 €;12;130
Oby Sorrel;India;Peanut Butter Cubes;23/03/2021;5 698,00 €;426;248
Dotty Strutley;India;Eclairs;23/03/2021;3 556,00 €;42;356
Andria Kimpton;New Zealand;Spicy Special Slims;23/03/2021;931,00 €;337;133
Gunar Cockshoot;Australia;Baker's Choco Chips;23/03/2021;9 317,00 €;224;666
Marney O'Breen;Canada;Caramel Stuffed Bars;23/03/2021;1 365,00 €;171;51
Karlen McCaffrey;Australia;Spicy Special Slims;23/03/2021;7 672,00 €;229;1096
Curtice Advani;New Zealand;White Choc;23/03/2021;532,00 €;96;34
Barr Faughny;UK;Eclairs;23/03/2021;546,00 €;358;55
Jan Morforth;India;Almond Choco;23/03/2021;6 321,00 €;163;527
Gigi Bohling;Canada;Mint Chip Choco;23/03/2021;3 878,00 €;43;216
Madelene Upcott;India;Milk Bars;23/03/2021;5 166,00 €;135;345
Gigi Bohling;India;Organic Choco Syrup;24/03/2021;8 225,00 €;23;914
Brien Boise;India;Fruit & Nut Bars;24/03/2021;1 890,00 €;575;83
Curtice Advani;Australia;Choco Coated Almonds;24/03/2021;4 809,00 €;159;185
Brien Boise;USA;White Choc;24/03/2021;9 051,00 €;138;604
Gigi Bohling;USA;Milk Bars;24/03/2021;5 873,00 €;358;452
Gigi Bohling;Australia;Caramel Stuffed Bars;24/03/2021;6 993,00 €;158;269
Wilone O'Kielt;Australia;Almond Choco;24/03/2021;3 822,00 €;185;294
Brien Boise;UK;Almond Choco;24/03/2021;4 942,00 €;219;353
Dennison Crosswaite;India;50% Dark Bites;24/03/2021;4 305,00 €;110;287
Dennison Crosswaite;UK;Drinking Coco;24/03/2021;784,00 €;142;49
Curtice Advani;Canada;Mint Chip Choco;24/03/2021;6 930,00 €;544;385
Andria Kimpton;Canada;Smooth Sliky Salty;24/03/2021;6 419,00 €;70;306
Kelci Walkden;New Zealand;Almond Choco;24/03/2021;588,00 €;551;46
Kaine Padly;Canada;Manuka Honey Choco;24/03/2021;5 131,00 €;66;467
Marney O'Breen;Australia;Eclairs;24/03/2021;4 466,00 €;135;559
Barr Faughny;Australia;Eclairs;24/03/2021;1 736,00 €;86;217
Beverie Moffet;USA;Drinking Coco;24/03/2021;2 450,00 €;64;154
Dotty Strutley;India;Fruit & Nut Bars;24/03/2021;4 480,00 €;77;187
Jan Morforth;India;50% Dark Bites;24/03/2021;6 839,00 €;18;428
Andria Kimpton;Canada;50% Dark Bites;24/03/2021;3 661,00 €;114;229
Ches Bonnell;New Zealand;Fruit & Nut Bars;24/03/2021;3 689,00 €;240;154
Jan Morforth;India;Raspberry Choco;25/03/2021;3 633,00 €;183;303
Kelci Walkden;USA;After Nines;25/03/2021;889,00 €;36;149
Marney O'Breen;UK;Baker's Choco Chips;25/03/2021;2 254,00 €;279;174
Jan Morforth;Canada;Caramel Stuffed Bars;25/03/2021;2 254,00 €;141;91
Jan Morforth;Canada;Baker's Choco Chips;25/03/2021;1 918,00 €;64;160
Oby Sorrel;New Zealand;Milk Bars;25/03/2021;4 606,00 €;12;355
Marney O'Breen;USA;Orange Choco;25/03/2021;8 960,00 €;132;690
Dotty Strutley;Australia;Milk Bars;25/03/2021;2 149,00 €;169;144
Rafaelita Blaksland;Canada;Baker's Choco Chips;25/03/2021;679,00 €;207;57
Brien Boise;USA;Almond Choco;26/03/2021;2 387,00 €;31;184
Wilone O'Kielt;India;Spicy Special Slims;26/03/2021;7 749,00 €;197;1292
Curtice Advani;New Zealand;Eclairs;26/03/2021;987,00 €;152;124
Marney O'Breen;India;Baker's Choco Chips;26/03/2021;4 753,00 €;66;340
Gigi Bohling;Australia;70% Dark Bites;26/03/2021;6 342,00 €;52;453
Curtice Advani;Australia;99% Dark & Pure;26/03/2021;5 593,00 €;191;244
Husein Augar;USA;After Nines;26/03/2021;1 652,00 €;464;207
Ches Bonnell;Canada;Smooth Sliky Salty;26/03/2021;364,00 €;179;18
Barr Faughny;Canada;Choco Coated Almonds;26/03/2021;2 135,00 €;51;83
Kelci Walkden;Australia;Caramel Stuffed Bars;26/03/2021;4 459,00 €;269;166
Karlen McCaffrey;USA;Milk Bars;26/03/2021;7 329,00 €;238;524
Andria Kimpton;New Zealand;Drinking Coco;26/03/2021;2 905,00 €;112;182
Madelene Upcott;New Zealand;Almond Choco;26/03/2021;1 897,00 €;340;146
Barr Faughny;USA;Choco Coated Almonds;26/03/2021;3 598,00 €;135;150
Gunar Cockshoot;USA;Milk Bars;26/03/2021;3 850,00 €;392;275
Andria Kimpton;UK;Peanut Butter Cubes;26/03/2021;3 423,00 €;53;149
Beverie Moffet;India;Mint Chip Choco;26/03/2021;7 609,00 €;56;381
Brien Boise;Canada;Caramel Stuffed Bars;29/03/2021;1 141,00 €;29;43
Oby Sorrel;Australia;White Choc;29/03/2021;3 164,00 €;183;198
Oby Sorrel;New Zealand;After Nines;29/03/2021;1 225,00 €;79;175
Curtice Advani;USA;99% Dark & Pure;29/03/2021;5 439,00 €;362;248
Kelci Walkden;USA;Manuka Honey Choco;29/03/2021;7 728,00 €;44;644
Curtice Advani;Australia;Manuka Honey Choco;29/03/2021;658,00 €;140;55
Beverie Moffet;Canada;99% Dark & Pure;30/03/2021;1 337,00 €;396;64
Madelene Upcott;Australia;Almond Choco;30/03/2021;2 653,00 €;250;205
Gigi Bohling;USA;Drinking Coco;30/03/2021;2 422,00 €;322;152
Rafaelita Blaksland;Australia;Fruit & Nut Bars;30/03/2021;3 360,00 €;130;140
Ches Bonnell;Canada;Milk Bars;30/03/2021;4 823,00 €;254;371
Husein Augar;Australia;Manuka Honey Choco;30/03/2021;6 657,00 €;285;555
Husein Augar;USA;Almond Choco;30/03/2021;11 193,00 €;91;861
Kaine Padly;New Zealand;Eclairs;30/03/2021;595,00 €;91;75
Rafaelita Blaksland;USA;Milk Bars;30/03/2021;11 746,00 €;22;839
Karlen McCaffrey;USA;Caramel Stuffed Bars;30/03/2021;4 746,00 €;136;183
Brien Boise;Canada;Almond Choco;30/03/2021;2 604,00 €;22;201
Barr Faughny;New Zealand;70% Dark Bites;30/03/2021;2 961,00 €;159;198
Wilone O'Kielt;UK;Eclairs;30/03/2021;133,00 €;275;14
Brien Boise;Canada;50% Dark Bites;30/03/2021;1 344,00 €;203;90
Ches Bonnell;USA;Spicy Special Slims;30/03/2021;13 909,00 €;265;2319
Karlen McCaffrey;UK;After Nines;30/03/2021;1 981,00 €;64;283
Curtice Advani;UK;Orange Choco;31/03/2021;6 888,00 €;120;530
Oby Sorrel;India;Baker's Choco Chips;31/03/2021;3 815,00 €;97;318
Gigi Bohling;New Zealand;Drinking Coco;31/03/2021;3 822,00 €;50;213
Curtice Advani;New Zealand;Fruit & Nut Bars;31/03/2021;2 275,00 €;13;95
Wilone O'Kielt;Canada;Drinking Coco;31/03/2021;2 807,00 €;78;176
Barr Faughny;Canada;Smooth Sliky Salty;31/03/2021;3 920,00 €;26;179
Dotty Strutley;New Zealand;Manuka Honey Choco;31/03/2021;9 891,00 €;46;825
Husein Augar;New Zealand;Drinking Coco;31/03/2021;7 203,00 €;83;424
Beverie Moffet;India;Eclairs;31/03/2021;4 900,00 €;20;545
Wilone O'Kielt;USA;70% Dark Bites;31/03/2021;7 294,00 €;347;521
Jan Morforth;New Zealand;Milk Bars;31/03/2021;3 913,00 €;94;301
Kelci Walkden;New Zealand;Orange Choco;31/03/2021;3 143,00 €;367;262
Gunar Cockshoot;India;Peanut Butter Cubes;31/03/2021;1 477,00 €;85;60
Dennison Crosswaite;USA;Organic Choco Syrup;31/03/2021;574,00 €;103;58
Beverie Moffet;Australia;Eclairs;31/03/2021;2 520,00 €;333;252
Dennison Crosswaite;Australia;85% Dark Bars;31/03/2021;5 971,00 €;69;399
Wilone O'Kielt;UK;Organic Choco Syrup;31/03/2021;4 522,00 €;61;503
Gunar Cockshoot;Canada;Smooth Sliky Salty;31/03/2021;861,00 €;128;38
Kaine Padly;India;50% Dark Bites;31/03/2021;7 777,00 €;210;487
Oby Sorrel;Australia;99% Dark & Pure;31/03/2021;1 379,00 €;77;60
Gigi Bohling;USA;Caramel Stuffed Bars;31/03/2021;3 584,00 €;8;138
Jan Morforth;India;Drinking Coco;31/03/2021;4 907,00 €;129;289
Marney O'Breen;UK;Choco Coated Almonds;31/03/2021;4 788,00 €;47;185
Barr Faughny;Canada;Milk Bars;31/03/2021;5 677,00 €;131;379
Dotty Strutley;Canada;Almond Choco;31/03/2021;10 752,00 €;230;896
Gunar Cockshoot;New Zealand;Orange Choco;01/04/2021;9 870,00 €;58;823
Gigi Bohling;Australia;Milk Bars;01/04/2021;2 324,00 €;196;166
Kelci Walkden;India;85% Dark Bars;01/04/2021;6 937,00 €;76;434
Karlen McCaffrey;Australia;Almond Choco;01/04/2021;2 177,00 €;176;156
Barr Faughny;UK;70% Dark Bites;01/04/2021;1 330,00 €;224;89
Dennison Crosswaite;India;Fruit & Nut Bars;01/04/2021;6 328,00 €;73;264
Madelene Upcott;Australia;85% Dark Bars;01/04/2021;3 626,00 €;162;242
Marney O'Breen;New Zealand;85% Dark Bars;01/04/2021;7 707,00 €;261;514
Husein Augar;USA;Drinking Coco;01/04/2021;13 349,00 €;49;786
Dotty Strutley;Canada;Milk Bars;01/04/2021;6 118,00 €;24;408
Madelene Upcott;New Zealand;Fruit & Nut Bars;01/04/2021;5 481,00 €;111;229
Andria Kimpton;USA;Smooth Sliky Salty;01/04/2021;2 849,00 €;432;130
Dotty Strutley;USA;Smooth Sliky Salty;01/04/2021;6 160,00 €;61;280
Curtice Advani;UK;White Choc;01/04/2021;2 940,00 €;2;210
Gigi Bohling;UK;99% Dark & Pure;01/04/2021;4 340,00 €;323;189
Dennison Crosswaite;Canada;Almond Choco;01/04/2021;5 803,00 €;10;415
Dotty Strutley;UK;50% Dark Bites;01/04/2021;994,00 €;200;67
Kelci Walkden;Canada;Fruit & Nut Bars;01/04/2021;3 829,00 €;427;167
Madelene Upcott;India;Fruit & Nut Bars;01/04/2021;19 299,00 €;53;805
Oby Sorrel;New Zealand;Orange Choco;01/04/2021;1 148,00 €;149;96
Oby Sorrel;UK;Peanut Butter Cubes;01/04/2021;5 796,00 €;299;232
Wilone O'Kielt;Canada;Almond Choco;01/04/2021;4 851,00 €;263;347
Gunar Cockshoot;India;Manuka Honey Choco;01/04/2021;3 220,00 €;293;269
Oby Sorrel;Canada;Almond Choco;01/04/2021;2 821,00 €;104;202
Brien Boise;USA;Raspberry Choco;01/04/2021;6 230,00 €;35;520
Karlen McCaffrey;India;Almond Choco;01/04/2021;7 686,00 €;60;641
Kaine Padly;India;85% Dark Bars;01/04/2021;11 515,00 €;41;823
Beverie Moffet;Australia;Organic Choco Syrup;01/04/2021;1 743,00 €;132;194
Gunar Cockshoot;UK;Eclairs;01/04/2021;756,00 €;178;95
Oby Sorrel;Australia;50% Dark Bites;02/04/2021;7 343,00 €;112;490
Kaine Padly;Canada;Choco Coated Almonds;02/04/2021;10 185,00 €;22;408
Andria Kimpton;New Zealand;Eclairs;02/04/2021;602,00 €;320;76
Husein Augar;UK;Smooth Sliky Salty;02/04/2021;1 477,00 €;4;68
Marney O'Breen;India;Caramel Stuffed Bars;02/04/2021;2 555,00 €;11;103
Beverie Moffet;New Zealand;Manuka Honey Choco;02/04/2021;2 898,00 €;425;242
Madelene Upcott;Australia;Manuka Honey Choco;02/04/2021;161,00 €;229;15
Wilone O'Kielt;Canada;99% Dark & Pure;02/04/2021;49,00 €;84;3
Wilone O'Kielt;India;70% Dark Bites;02/04/2021;6 076,00 €;5;406
Barr Faughny;New Zealand;Spicy Special Slims;02/04/2021;2 506,00 €;43;314
Brien Boise;USA;50% Dark Bites;02/04/2021;11 669,00 €;286;834
Wilone O'Kielt;UK;Drinking Coco;02/04/2021;4 886,00 €;101;306
Dennison Crosswaite;UK;Organic Choco Syrup;02/04/2021;10 381,00 €;185;1154
Oby Sorrel;Canada;Orange Choco;02/04/2021;1 778,00 €;112;162
Madelene Upcott;Canada;Eclairs;02/04/2021;4 039,00 €;61;449
Gigi Bohling;Australia;White Choc;05/04/2021;5 950,00 €;157;425
Kaine Padly;USA;70% Dark Bites;05/04/2021;2 072,00 €;278;160
Kaine Padly;USA;Raspberry Choco;05/04/2021;7 861,00 €;80;715
Wilone O'Kielt;USA;Almond Choco;05/04/2021;3 451,00 €;255;247
Beverie Moffet;USA;70% Dark Bites;05/04/2021;3 304,00 €;515;255
Dotty Strutley;UK;White Choc;05/04/2021;2 058,00 €;253;147
Andria Kimpton;UK;Fruit & Nut Bars;05/04/2021;9 086,00 €;185;364
Brien Boise;Canada;Fruit & Nut Bars;05/04/2021;2 639,00 €;32;106
Madelene Upcott;Australia;Mint Chip Choco;05/04/2021;133,00 €;110;7
Dennison Crosswaite;India;99% Dark & Pure;05/04/2021;3 220,00 €;25;154
Ches Bonnell;New Zealand;Smooth Sliky Salty;05/04/2021;7 700,00 €;78;335
Curtice Advani;UK;Drinking Coco;05/04/2021;1 330,00 €;89;74
Husein Augar;India;Organic Choco Syrup;05/04/2021;756,00 €;497;69
Gunar Cockshoot;UK;Raspberry Choco;05/04/2021;1 064,00 €;6;89
Dennison Crosswaite;UK;Manuka Honey Choco;05/04/2021;1 078,00 €;32;83
Wilone O'Kielt;Canada;Fruit & Nut Bars;05/04/2021;4 578,00 €;225;184
Karlen McCaffrey;Australia;Manuka Honey Choco;05/04/2021;5 537,00 €;193;504
Ches Bonnell;USA;Raspberry Choco;05/04/2021;217,00 €;386;19
Rafaelita Blaksland;India;Caramel Stuffed Bars;05/04/2021;3 899,00 €;6;150
Curtice Advani;Australia;Milk Bars;05/04/2021;3 143,00 €;57;242
Ches Bonnell;Australia;Milk Bars;05/04/2021;5 621,00 €;170;433
Madelene Upcott;Canada;70% Dark Bites;05/04/2021;8 680,00 €;3;620
Barr Faughny;USA;Orange Choco;05/04/2021;2 303,00 €;25;192
Husein Augar;Canada;Smooth Sliky Salty;05/04/2021;5 488,00 €;169;262
Curtice Advani;Canada;Caramel Stuffed Bars;06/04/2021;6 895,00 €;255;256
Ches Bonnell;Australia;Organic Choco Syrup;06/04/2021;9 331,00 €;96;849
Andria Kimpton;Canada;70% Dark Bites;06/04/2021;434,00 €;128;34
Rafaelita Blaksland;Australia;Manuka Honey Choco;06/04/2021;6 965,00 €;391;634
Gunar Cockshoot;New Zealand;Smooth Sliky Salty;06/04/2021;196,00 €;18;9
Brien Boise;USA;Orange Choco;06/04/2021;7 063,00 €;67;643
Curtice Advani;UK;Almond Choco;06/04/2021;4 102,00 €;308;342
Beverie Moffet;India;White Choc;06/04/2021;11 361,00 €;69;711
Dotty Strutley;UK;Manuka Honey Choco;06/04/2021;5 446,00 €;37;454
Wilone O'Kielt;Canada;Choco Coated Almonds;06/04/2021;819,00 €;98;33
Kelci Walkden;New Zealand;White Choc;06/04/2021;2 975,00 €;268;186
Oby Sorrel;USA;Choco Coated Almonds;06/04/2021;763,00 €;214;31
Oby Sorrel;Canada;85% Dark Bars;06/04/2021;658,00 €;161;44
Oby Sorrel;USA;99% Dark & Pure;06/04/2021;7 616,00 €;91;332
Brien Boise;UK;Organic Choco Syrup;06/04/2021;1 883,00 €;111;189
Gunar Cockshoot;New Zealand;Milk Bars;07/04/2021;1 764,00 €;223;118
Gigi Bohling;India;After Nines;07/04/2021;6 489,00 €;488;812
Gigi Bohling;USA;Choco Coated Almonds;07/04/2021;4 060,00 €;416;157
Andria Kimpton;USA;Raspberry Choco;07/04/2021;973,00 €;100;98
Andria Kimpton;USA;Manuka Honey Choco;07/04/2021;5 159,00 €;176;469
Beverie Moffet;New Zealand;Raspberry Choco;07/04/2021;5 159,00 €;189;516
Madelene Upcott;USA;85% Dark Bars;07/04/2021;2 779,00 €;108;186
